,equity
2024-11-26,146812.56893835735
2024-11-27,146280.40385264307
2024-11-29,146280.40385264307
2024-12-02,146359.10210264305
2024-12-03,146359.10210264305
2024-12-04,145573.24781692878
2024-12-05,146265.91865978594
2024-12-06,147356.16878835738
2024-12-09,147082.8852169288
2024-12-10,147167.63271692878
2024-12-11,147167.63271692878
2024-12-12,147167.63271692878
2024-12-13,148082.0837669288
2024-12-16,149063.9614169288
2024-12-17,149584.32855978594
2024-12-18,149570.69998835734
2024-12-19,150798.4389597859
2024-12-20,149430.66753121448
2024-12-23,149430.66753121448
2024-12-24,149430.66753121448
2024-12-26,149430.66753121448
2024-12-27,149430.66753121448
2024-12-30,149430.66753121448
2024-12-31,149430.66753121448
2025-01-02,149430.66753121448
2025-01-03,149706.28518121448
2025-01-06,149706.28518121448
2025-01-07,150848.7404932145
2025-01-08,150848.7404932145
2025-01-10,151698.1404932145
2025-01-13,152352.3774932145
2025-01-14,152352.3774932145
2025-01-15,152596.85840750023
2025-01-16,153168.34983607166
2025-01-17,152927.87269321454
2025-01-21,154564.39708771452
2025-01-22,153690.19351628594
2025-01-23,153027.72321628596
2025-01-24,153027.72321628596
2025-01-27,153424.13891628597
2025-01-28,151994.17891628598
2025-01-29,151994.17891628598
2025-01-30,154934.70603057172
2025-01-31,154934.70603057172
2025-02-03,154942.1954805717
2025-02-04,155604.83915428602
2025-02-05,156069.99772571458
2025-02-06,156116.5477257146
2025-02-07,156841.0477257146
2025-02-10,156841.0477257146
2025-02-11,156841.0477257146
2025-02-12,156545.93701142888
2025-02-13,156490.95907878602
2025-02-14,156914.037216286
2025-02-18,156914.037216286
2025-02-19,156914.037216286
2025-02-20,157841.52338771458
2025-02-21,158038.15035914315
2025-02-24,159190.65983414315
2025-02-25,159192.4418770003
2025-02-26,161766.93307700029
2025-02-27,161766.93307700029
2025-02-28,161766.93307700029
2025-03-03,161766.93307700029
2025-03-04,162689.66332700028
2025-03-05,162929.49552700028
2025-03-06,162929.49552700028
2025-03-07,162497.8487770003
2025-03-10,165453.5144770003
2025-03-11,165777.9695770003
2025-03-12,165311.0695770003
2025-03-13,166370.4495770003
2025-03-14,166860.39957700032
2025-03-17,166605.1825539289
2025-03-18,166605.1825539289
2025-03-19,166605.1825539289
2025-03-20,166080.49606821462
