,equity
2024-12-04,-698.929079285686
2024-12-05,-1339.4716078571146
2024-12-06,-1689.4116078571146
2024-12-09,-1692.3966078571145
2024-12-10,-1691.6191078571146
2024-12-11,-1691.6191078571146
2024-12-12,-1691.6191078571146
2024-12-13,-1876.4065078571145
2024-12-16,-1865.1205578571146
2024-12-17,-1858.696272142829
2024-12-18,-1854.6398435714004
2024-12-19,-2199.5998435714005
2024-12-20,-2237.4277007142578
2024-12-23,-2237.4277007142578
2024-12-24,-2237.4277007142578
2024-12-26,-2237.4277007142578
2024-12-27,-2237.4277007142578
2024-12-30,-2237.4277007142578
2024-12-31,-2237.4277007142578
2025-01-02,-2237.4277007142578
2025-01-03,-2237.2390507142577
2025-01-06,-2237.2390507142577
2025-01-07,-2234.7114947142577
2025-01-08,-2234.7114947142577
2025-01-10,-1544.5714947142576
2025-01-13,-1679.7714947142576
2025-01-14,-1679.7714947142576
2025-01-15,-1677.7044232856863
2025-01-16,-1672.4029947142576
2025-01-17,-2351.5101375714003
2025-01-21,-2349.2995770714
2025-01-22,-3504.4595770714
2025-01-23,-4045.0492770714
2025-01-24,-4045.0492770714
2025-01-27,-3959.2092770714
2025-01-28,-5367.8492770714
2025-01-29,-5367.8492770714
2025-01-30,-7279.2692770714
2025-01-31,-7279.2692770714
2025-02-03,-7279.1896020714
2025-02-04,-8288.0496020714
2025-02-05,-8286.127459214256
2025-02-06,-9718.207459214256
2025-02-07,-10076.067459214257
2025-02-10,-10076.067459214257
2025-02-11,-10076.067459214257
2025-02-12,-10126.4596020714
2025-02-13,-12388.9396020714
2025-02-14,-13546.069602071399
2025-02-18,-13546.069602071399
2025-02-19,-13546.069602071399
2025-02-20,-13541.028916357112
2025-02-21,-15278.182059214256
2025-02-24,-15277.453084214256
2025-02-25,-15277.446177071399
2025-02-26,-17182.4701770714
2025-02-27,-17182.4701770714
2025-02-28,-17182.4701770714
2025-03-03,-17182.4701770714
2025-03-04,-17181.4204270714
2025-03-05,-17180.9827770714
2025-03-06,-17180.9827770714
2025-03-07,-17186.1838270714
2025-03-10,-17170.294977071397
2025-03-11,-17167.993877071396
2025-03-12,-17168.343877071395
2025-03-13,-17687.683877071395
2025-03-14,-17685.293877071395
2025-03-17,-18106.603877071393
2025-03-18,-18106.603877071393
2025-03-19,-18106.603877071393
2025-03-20,-19260.86127707139
2025-03-21,-19698.68677707139
2025-03-24,-19698.68677707139
2025-03-25,-19698.68677707139
2025-03-26,-19695.90562707139
2025-03-27,-19693.62327707139
2025-03-28,-20994.223277071393
2025-03-31,-20993.391027071393
2025-04-01,-20993.391027071393
2025-04-02,-20993.391027071393
2025-04-03,-21204.99102707139
2025-04-04,-21451.31102707139
2025-04-07,-21594.33307707139
2025-04-08,-22762.26375564282
2025-04-09,-22761.68615564282
2025-04-10,-22767.266619928534
2025-04-11,-22762.597219928535
2025-04-14,-22762.597219928535
2025-04-15,-22762.597219928535
2025-04-16,-22760.516769928534
2025-04-17,-24634.571069928534
2025-04-21,-24639.611069928535
2025-04-22,-24639.611069928535
2025-04-23,-24829.70892707139
2025-04-24,-24829.275819928534
2025-04-25,-24819.114619928532
2025-04-28,-24819.114619928532
2025-04-29,-24852.11604849996
2025-04-30,-25184.05604849996
2025-05-01,-25162.399448499957
2025-05-02,-26008.309419928526
2025-05-05,-26002.317994928526
2025-05-06,-27365.08508271424
2025-05-07,-27768.393082714236
2025-05-08,-30112.19308271424
2025-05-09,-32134.298082714242
2025-05-12,-32246.905482714246
2025-05-13,-31892.545482714246
2025-05-14,-31906.446911285675
2025-05-15,-31913.129311285673
2025-05-16,-31902.888161285675
2025-05-19,-31902.888161285675
2025-05-20,-31902.888161285675
2025-05-21,-31898.657911285674
2025-05-22,-31895.813531285676
2025-05-23,-32345.613531285675
2025-05-27,-32345.613531285675
2025-05-28,-32345.613531285675
2025-05-29,-32355.513156285673
2025-05-30,-35492.26315628567
2025-06-02,-35488.279606285665
2025-06-03,-35699.57960628567
2025-06-04,-36019.099606285665
2025-06-05,-36016.07060628566
2025-06-06,-36016.07060628566
2025-06-09,-36031.19116342852
2025-06-10,-35967.97116342852
2025-06-11,-35958.15466342852
2025-06-12,-35958.15466342852
2025-06-13,-35958.15466342852
2025-06-16,-35949.51876342852
2025-06-17,-36073.31876342851
2025-06-18,-36070.35416492851
2025-06-20,-37154.90757921423
2025-06-23,-37553.38719692852
2025-06-24,-37552.762896928514
2025-06-25,-37553.837275499944
2025-06-26,-37516.086525499944
2025-06-27,-37734.75652549994
2025-06-30,-37733.739125499946
2025-07-01,-37723.55692907137
2025-07-02,-37346.86692907136
2025-07-03,-37346.86692907136
2025-07-07,-37346.86692907136
2025-07-08,-37346.86692907136
2025-07-09,-37346.86692907136
2025-07-10,-38041.98692907136
2025-07-11,-38041.98692907136
2025-07-14,-39620.749404071365
2025-07-15,-39621.10583264279
2025-07-16,-39623.59736835708
2025-07-17,-39591.08981835707
2025-07-18,-39592.074104071355
2025-07-21,-39604.22840407135
2025-07-22,-41988.80840407135
2025-07-23,-45434.028404071345
2025-07-24,-46343.28840407134
2025-07-25,-46670.69495407134
2025-07-28,-47045.49495407134
2025-07-29,-47666.324954071344
2025-07-30,-48755.84495407134
2025-07-31,-49613.78495407134
2025-08-01,-49798.0878112142
2025-08-04,-52481.775668357055
2025-08-05,-55850.93566835706
2025-08-06,-56518.15566835705
2025-08-07,-58402.015668357046
2025-08-08,-58406.11800407134
2025-08-11,-58411.97035871419
2025-08-12,-59121.630358714196
2025-08-13,-59121.025558714195
2025-08-14,-61186.99984442848
2025-08-15,-61177.00924442848
2025-08-18,-61175.644244428484
2025-08-19,-61174.959044428484
2025-08-20,-61182.62261585706
2025-08-21,-61182.575065857054
2025-08-22,-61182.575065857054
2025-08-25,-61182.44846585705
2025-08-26,-61182.44846585705
2025-08-27,-61182.44846585705
2025-08-28,-61278.08846585705
2025-08-29,-61441.81846585705
2025-09-02,-61438.08371585705
2025-09-03,-63245.18371585705
2025-09-04,-64650.343715857045
2025-09-05,-64652.563715857046
2025-09-08,-64645.27976585705
2025-09-09,-64645.154215857045
2025-09-10,-64567.80441585704
2025-09-11,-66244.94051585703
2025-09-12,-66243.68376585703
2025-09-15,-66235.56786585703
2025-09-16,-66240.2964372856
2025-09-17,-66240.2964372856
2025-09-18,-66969.1914372856
2025-09-19,-66973.6664372856
2025-09-22,-66973.6352372856
2025-09-23,-66974.2752372856
2025-09-24,-66974.2752372856
2025-09-25,-66974.2752372856
2025-09-26,-66968.9847765713
2025-09-29,-66968.1147765713
2025-09-30,-66963.7032765713
2025-10-01,-67000.60327657129
2025-10-02,-67000.60327657129
2025-10-03,-66997.8730265713
2025-10-06,-67321.1130265713
2025-10-07,-67326.5522265713
2025-10-08,-67326.5522265713
2025-10-09,-67326.5522265713
2025-10-10,-67326.52667657129
2025-10-13,-67326.0696765713
2025-10-14,-67327.80824799987
2025-10-15,-67326.88839799986
2025-10-16,-67326.55824799987
2025-10-17,-67325.67564799987
2025-10-20,-67325.67564799987
2025-10-21,-67314.98021585701
2025-10-22,-69947.100215857
2025-10-23,-70553.92992299987
2025-10-24,-70908.09101585702
2025-10-27,-70908.09101585702
2025-10-28,-71666.15101585702
2025-10-29,-72639.23101585702
2025-10-30,-74266.31101585702
2025-10-31,-74500.89101585702
2025-11-03,-74902.49101585703
2025-11-04,-75270.29101585703
2025-11-05,-77541.51101585703
2025-11-06,-78262.04101585703
2025-11-07,-79092.68101585703
2025-11-10,-79092.68101585703
2025-11-11,-79092.68101585703
2025-11-12,-79092.68101585703
2025-11-13,-79395.26101585703
2025-11-14,-79395.26101585703
2025-11-17,-79391.55676585704
2025-11-18,-79395.59676585703
2025-11-19,-79386.52248014274
2025-11-20,-79353.54918014273
2025-11-21,-79349.82393014272
2025-11-24,-79321.64393014273
2025-11-25,-79321.64393014273
2025-11-26,-79321.64393014273
2025-11-28,-79321.64393014273
2025-12-01,-79321.64393014273
2025-12-02,-79320.94293728558
2025-12-03,-79320.94293728558
2025-12-04,-79320.94293728558
2025-12-05,-80185.0614515713
2025-12-08,-80184.55859442844
2025-12-09,-80184.55859442844
2025-12-10,-80901.1414515713
2025-12-11,-81667.57716585702
2025-12-12,-82495.81628014272
2025-12-15,-82495.81628014272
2025-12-16,-82495.81628014272
2025-12-17,-82495.06199442844
2025-12-18,-82506.88154442844
2025-12-19,-82729.43394442844
2025-12-22,-82729.43394442844
2025-12-23,-82729.43394442844
2025-12-24,-82729.43394442844
2025-12-26,-82729.43394442844
2025-12-29,-82729.43394442844
2025-12-30,-82729.43394442844
